,mark,price,produced_year,imported_year,type,hurd,hodolguur,distance_num,motor_vol
915,Mercedes-Benz E-Class,130.0,2018,2023,Суудлын тэрэг,True,Бензин,38000.0,2.0
916,Lexus RX,30.0,2008,2014,Жийп,True,Бензин,100000.0,3.0
917,Toyota Prius 20,13.0,2006,2018,Суудлын тэрэг,False,Хайбрид,111000.0,1.0
918,Nissan Vanette,17.5,2011,2024,Жийп,False,Бензин,126000.0,1.0
919,Toyota Axio,16.7,2014,2020,Суудлын тэрэг,False,Хайбрид,110000.0,1.0
920,Toyota Aqua,19.5,2018,2024,Суудлын тэрэг,False,Хайбрид,195000.0,1.0
921,Renault Бусад,84.0,2022,2023,Жийп,False,Хайбрид,50000.0,1.0
922,Toyota Prius 30,15.0,2010,2018,Суудлын тэрэг,False,Бензин,1500000.0,1.0
923,Porsche Cayman,320.0,2016,2017,Суудлын тэрэг,True,Бензин,7000.0,2.0
924,Lexus RX,166.0,2017,2023,Жийп,True,Хайбрид,60000.0,3.0
925,Lexus LX,260.0,2017,2021,Жийп,True,Бензин,43600.0,5.0
926,Toyota Land Cruiser Prado,50.0,2005,2020,Жийп,False,Бензин,200000.0,3.0
927,Toyota Crown,23.5,2012,2018,Суудлын тэрэг,False,Хайбрид,190000.0,3.0
928,Toyota Land Cruiser 300,255.0,2021,2021,Жийп,True,Бензин,30000.0,3.0
929,Toyota Land Cruiser 300,210.0,2022,2023,Жийп,True,Бензин,4600.0,4.0
930,Lexus RX,62.0,2011,2023,Жийп,False,Бензин,160000.0,3.0
931,Toyota Prius 20,9.8,2004,2017,Суудлын тэрэг,False,Хайбрид,150000.0,1.0
932,Toyota Harrier,34.0,2008,2018,Жийп,False,Бензин,150000.0,2.0
933,Toyota Harrier,28.0,2005,2014,Жийп,True,Хайбрид,1000.0,3.0
934,Toyota Land Cruiser 80,30.0,1997,2008,Жийп,False,Дизель,2000000.0,4.0
935,Toyota Hilux,65.0,2004,2021,Жийп,False,Бензин,160000.0,3.0
936,Toyota Prius 40,33.6,2015,2024,Суудлын тэрэг,False,Хайбрид,81000.0,1.0
937,Lexus RX,45.0,2011,2020,Жийп,False,Бензин,165000.0,2.0
938,Toyota Aqua,23.0,2019,2024,Суудлын тэрэг,False,Хайбрид,145298.0,1.0
939,Toyota Prius 30,23.9,2012,2024,Суудлын тэрэг,False,Хайбрид,220000.0,1.0
940,Hyundai Starex,25.0,2010,2024,Гэр бүлийн,True,Дизель,93000.0,2.0
941,Toyota Crown,78.0,2018,2024,Суудлын тэрэг,False,Хайбрид,130000.0,2.0
942,Toyota Voxy,34.0,2014,2024,Гэр бүлийн,False,Хайбрид,160000.0,1.0
943,Toyota Alphard,90.0,2016,2023,Гэр бүлийн,False,Бензин,100000.0,2.0
944,Lexus LX,36.0,2003,2011,Жийп,True,Бензин,100000.0,4.0
945,Subaru Forester,36.8,2013,2022,Жийп,False,Бензин,143000.0,2.0
946,Hyundai Sonata,23.0,2017,2024,Суудлын тэрэг,True,Газ,200000.0,2.0
947,Toyota RAV4,90.0,2020,2022,Жийп,False,Хайбрид,35900.0,2.0
948,Kia Бусад,27.0,2015,2024,Гэр бүлийн,True,Дизель,226000.0,2.0
949,Toyota Prius 30,28.0,2014,2024,Суудлын тэрэг,False,Бензин,132000.0,1.0
950,Toyota Sai,23.9,2012,2023,Суудлын тэрэг,False,Хайбрид,139000.0,2.0
951,Toyota Fielder,19.0,2015,2020,Суудлын тэрэг,False,Хайбрид,21000.0,2.0
952,Toyota Prius 40,29.9,2012,2024,Гэр бүлийн,False,Хайбрид,143000.0,1.0
953,Toyota Prius 20,13.8,2008,2018,Суудлын тэрэг,False,Бензин,180000.0,1.0
954,Toyota Harrier,64.0,2017,2024,Жийп,False,Хайбрид,200000.0,2.0
955,Honda Бусад,3.0,2022,2002,Суудлын тэрэг,False,Бензин,210000.0,1.0
956,Toyota Aqua,12.8,2014,2020,Суудлын тэрэг,False,Бензин,180000.0,1.0
957,Toyota Prius 30,21.5,2013,2021,Суудлын тэрэг,False,Хайбрид,219000.0,1.0
958,Toyota Crown,7.5,2001,2016,Суудлын тэрэг,False,Бензин,222000.0,3.0
959,Toyota Hilux,17.0,2002,2011,Жийп,False,Бензин,230000.0,2.0
960,Land Rover Range Rover,129.0,2014,2016,Жийп,True,Дизель,108000.0,3.0
961,Toyota Prius 30,24.0,2013,2023,Суудлын тэрэг,False,Хайбрид,200000.0,1.0
962,Lexus NX,83.0,2015,2023,Жийп,True,Хайбрид,83833.0,2.0
963,Subaru Impreza,6.0,2006,2013,Суудлын тэрэг,False,Бензин,200000.0,1.0
964,Toyota Prius 20,10.8,2006,2016,Суудлын тэрэг,False,Хайбрид,290000.0,1.0
965,Toyota Prius 30,17.0,2010,2020,Суудлын тэрэг,False,Бензин,2500000.0,1.0
966,Lexus LX,108.0,2011,2013,Жийп,True,Бензин,120000.0,5.0
967,Toyota Aqua,13.8,2013,2022,Суудлын тэрэг,False,Хайбрид,140000.0,1.0
968,Nissan Juke,19.5,2012,2021,Суудлын тэрэг,False,Бензин,150000.0,1.0
969,Toyota Camry,56.0,2020,2022,Суудлын тэрэг,False,Бензин,36000.0,2.0
970,Toyota Auris,12.0,2010,2018,Суудлын тэрэг,False,Бензин,160000.0,1.0
971,Toyota Prius 40,28.4,2013,2024,Гэр бүлийн,False,Хайбрид,132000.0,1.0
972,Toyota Harrier,61.0,2014,2024,Жийп,False,Хайбрид,144400.0,2.0
973,Toyota Crown,23.0,2012,2018,Суудлын тэрэг,False,Бензин,200000.0,3.0
974,Toyota Crown,46.0,2014,2022,Суудлын тэрэг,False,Хайбрид,76000.0,3.0
975,Toyota Mark,7.0,2001,2012,Суудлын тэрэг,False,Бензин,170000.0,2.0
976,Toyota Crown,32.0,2013,2020,Суудлын тэрэг,False,Хайбрид,200000.0,2.0
977,Toyota Camry,24.0,2014,2019,Суудлын тэрэг,False,Бензин,102300.0,2.0
978,Toyota Prius 30,28.0,2012,2024,Суудлын тэрэг,False,Хайбрид,177000.0,1.0
979,Toyota Prius 40,29.5,2011,2023,Суудлын тэрэг,False,Хайбрид,100000.0,3.0
980,Toyota Harrier,65.5,2014,2024,Жийп,False,Хайбрид,135000.0,2.0
981,Toyota Aqua,17.0,2014,2024,Суудлын тэрэг,False,Хайбрид,160000.0,1.0
982,Land Rover Range Rover,50.0,2015,2023,Жийп,True,Дизель,54000.0,2.0
983,Toyota Prius 30,23.8,2010,2024,Суудлын тэрэг,False,Хайбрид,180000.0,1.0
984,Toyota Prius 30,24.4,2011,2024,Суудлын тэрэг,False,Хайбрид,131000.0,1.0
985,Toyota Estima,19.5,2010,2020,Гэр бүлийн,False,Бензин,190000.0,2.0
986,Toyota Allion,9.0,2006,2015,Суудлын тэрэг,False,Бензин,260000.0,1.0
987,Toyota Prius 30,17.2,2011,2020,Суудлын тэрэг,False,Бензин,190000.0,1.0
988,Lexus LX,110.0,2011,2012,Жийп,True,Бензин,65000.0,5.0
989,Mercedes-Benz GLA-Class,52.99,2017,2024,Жийп,False,Бензин,100000.0,2.0
990,Toyota Prius 30,11.5,2009,2014,Суудлын тэрэг,False,Хайбрид,190000000.0,1.0
991,Toyota Prius 40,32.0,2012,2024,Суудлын тэрэг,False,Хайбрид,73000.0,1.0
992,Toyota Harrier,38.0,2008,2023,Жийп,False,Бензин,200000.0,3.0
993,Mitsubishi Pajero,35.0,2010,2020,Жийп,False,Бензин,215000.0,3.0
994,Toyota Sai,24.9,2011,2022,Суудлын тэрэг,False,Хайбрид,108300.0,2.0
995,Lexus RX,58.0,2012,2021,Жийп,False,Хайбрид,140000.0,3.0
996,Nissan Patrol,185.0,2022,2022,Жийп,True,Бензин,25000.0,4.0
